RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Cuidado Personal;Farmacias y Perfumerías;FARMACIA NEBIOLO;115142;FARMACIA NEBIOLO;125148;AV PROF ARISTOBULO DEL VALLE;7781;SANTA FE;-31,59647;-60,69181;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA PESCETTI;115140;FARMACIA PESCETTI;125146;SDOTE MIGUEL GENESIO;1901;SANTA FE;-31,6016;-60,6852;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIAS GLOBAL;116283;FARMACIA Y PERFUMERIA GLOBAL;126296;AV CNEL OLASCOAGA;1069;NEUQUEN;-38,96635;-68,05963;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia Rp Porteña;4435;Av. Corrientes;1499;SAN NICOLAS;-34,60408;-58,38786;CABA SUR;CABA
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia Went;4426;Av. Corrientes;901;SAN NICOLAS;-34,60355;-58,37947;CABA SUR;CABA
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia Obelisco;4430;Av. Corrientes;901;SAN NICOLAS;-34,60355;-58,37947;CABA SUR;CABA
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia Rp Recoleta;4436;Av. Las Heras;2002;RECOLETA;-34,59008;-58,39399;CABA SUR;CABA
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia rp Obelisco;14188;Hipolito Yrigoyen;1280;MONSERRAT;-34,60985;-58,38452;CABA SUR;CABA
Cuidado Personal;Farmacias y Perfumerías;Farmacias y Perfumerías RP;1540;Farmacia Central de Avellaneda;4434;Av. Mitre;401;AVELLANEDA;-34,65965;-58,36878;LANUS / AVELLANEDA;GBA Sur
Gastronomía;Restaurantes;Fast and Funny;5077;Mar del Plata;12305;Belgrano;2698;MAR DEL PLATA;-38,00057;-57,54907;INTERIOR;INTERIOR
Gastronomía;Restaurantes;Fast and Funny;5077;Mar del Plata;12306;Belgrano;2402;MAR DEL PLATA;-38,00205;-57,54615;INTERIOR;INTERIOR
Moda;Indumentaria;FELICITAS;116121;FELICITAS;126143;BV 25 DE MAYO;136;NEUQUEN;-38,95322;-68,05706;INTERIOR;INTERIOR
Moda;Indumentaria;Felix Hombres;3180;Recoleta;8427;Arenales;2094;RECOLETA;-34,59451;-58,39706;CABA SUR;CABA
Moda;Indumentaria;Felix Hombres;3180;Quilmes;8422;Rivadavia;268;QUILMES;-34,7541;-58,22371;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Moda;Indumentaria;FEMME;116693;FEMME;126703;PRES GRAL J A ROCA;101;CIPOLLETTI;-38,93848;-68,00011;INTERIOR;INTERIOR
Moda;Accesorios;Feraud;5037;Feraud-Recoleta;19936;Posadas;1245;RECOLETA;-34,58923;-58,38427;CABA SUR;CABA
Moda;Accesorios;Feraud;5037;Alto Palermo;12217;Av. Santa Fe;3256;PALERMO;-34,58848;-58,41098;CABA NORTE;CABA
Moda;Accesorios;Feraud;5037;Galerías Pacífico;15595;Florida;737;SAN NICOLAS;-34,59943;-58,37537;CABA SUR;CABA
Moda;Accesorios;Feraud;5037;Feraud-Recoleta;19937;Vicente Lopez;2050;RECOLETA;-34,58891;-58,39355;CABA SUR;CABA
Entretenimiento;Deportes;Fibra Humana;2798;Balvanera;7549;Juan José Paso;426;BALVANERA;-34,60505;-58,41023;CABA OESTE;CABA
Entretenimiento;Deportes;Fibra Humana;2798;Palermo;8391;Aguirre;761;PALERMO;-34,59537;-58,43779;CABA NORTE;CABA
Entretenimiento;Deportes;Fibra Humana;2798;FIBRA HUMANA;20126;Paso;426;ALMAGRO;-34,59769;-58,41293;CABA OESTE;CABA
