RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Automotor;Neumáticos;Milla Neumáticos;4950;Mar del Plata;12003;Av. Libertad;;MAR DEL PLATA;-37,97232;-57,58451;INTERIOR;INTERIOR
Viajes y Turismo;Hoteles;Morada del Arroyo;112168;Colón;122567;José Artalaz;;COLON;-32,2141;-58,15903;INTERIOR;INTERIOR
Automotor;Neumáticos;Milla Neumáticos;4950;Neuquén;12116;Perticone y Tierra del Fuego;;NEUQUEN;-38,9599;-68,05206;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Quilmes;1392;Av. Humberto Primero y Moreno;;QUILMES;-34,72505;-58,25654;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Gastronomía;Comidas Rápidas;Mostaza;176;Mostaza La Plata;16141;Camino Centenario 1879;;LA PLATA;-34,89027;-57,99627;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mostaza;176;La Ribera Shopping;4018;Dique 1 - Puerto Santa Fe;;SANTA FE;-31,64981;-60,70469;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mostaza;176;VILLA MARIA;16177;Ruta 158;;VILLA MARIA;-32,37971;-63,23908;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mostaza;176;Mostaza Solar de la Abadía;16159;Esteban Arce 940;;BELGRANO;-34,56729;-58,43711;CABA NORTE;CABA
Gastronomía;Comidas Rápidas;Mostaza;176;Comodoro Rivadavia;16165;Av. Chile y Girolamo;;COMODORO RIVADAVIA;-45,86792;-67,5;INTERIOR;INTERIOR
Heladerías;Heladerías;Munchi‚s;99;Villa Gesell;308;Paseo 104 y Av. 3;;VILLA GESELL;-37,2634;-56,97327;INTERIOR;INTERIOR
Heladerías;Heladerías;Munchi‚s;99;Escobar;303;Ruta 25 y Miguel Cane;;BELEN DE ESCOBAR;-34,3599;-58,80085;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Gastronomía;Comidas Rápidas;Mostaza;176;Mostaza Moreno;16140;Acceso Oeste y Graham Bell;;MORENO;-34,63401;-58,79138;MORENO / GRAL RODRIGUEZ / LUJAN;GBA Oeste
Heladerías;Heladerías;Munchi‚s;99;Escobar;304;Glorieta y Puestos;;BELEN DE ESCOBAR;-34,34025;-58,78494;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Heladerías;Heladerías;Munchi‚s;99;Puerto de Frutos;1026;Los Sauces y Los Eucaliptos;;TIGRE;-34,42509;-58,57966;TIGRE / SAN FERNANDO;GBA Norte
Gastronomía;Comidas Rápidas;Mostaza;176;Mostaza Laferrere;16146;Ruta 21 y Av. Carlos Casares;;GREGORIO DE LAFERRERE;-34,72909;-58,58398;MATANZA;GBA Oeste
Heladerías;Heladerías;Munchi‚s;99;Parque de Aves;1027;Glorieta Parque de Aves. Ruta 25;;BELEN DE ESCOBAR;-34,34025;-58,78494;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Entretenimiento;Parques y Juegos;Mundo Cartoon;2071;Tortugas Open Mall;5819;Ruta Panamericana ramal Pilar km 36,5;;TORTUGUITAS;-34,47509;-58,75375;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Heladerías;Heladerías;Munchi‚s;99;Pinamar;306;Av. Bunge y Av. Del Libertador;;PINAMAR;-37,10097;-56,84357;INTERIOR;INTERIOR
Mascotas;Mascotas;Natural Life;5282;Carrefour Vélez;122546;Av. Álvarez Jonte 6383;;VERSALLES;-34,63335;-58,52297;CABA OESTE;CABA
Automotor;Neumáticos;Neumáticos Coscolla;3577;Bella Vista;9053;Av Pte. Illia;;BELLA VISTA;-34,56007;-58,66391;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Entretenimiento;Parques y Juegos;Neverland;122;Plaza Vea;700;Av. Rivadavia y Ej. Argentino Norte;;SANTIAGO DEL ESTERO;-27,77877;-64,26009;INTERIOR;INTERIOR
Automotor;Neumáticos;Neumen;464;S.M. Del Monte;2361;Ruta Nacional 3 Km. 110,5;;SAN MIGUEL DEL MONTE;-35,43777;-58,80671;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Neverland;122;Villa Allende Shopping;5696;Av. Padre Luchesse y Río de Janeiro;;VILLA ALLENDE;-31,3005;-64,27861;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Neverland;122;Paseo Libertad de Poeta Lugones;9804;M. Cardeñoza;;CORDOBA;-31,3658;-64,21861;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Neverland;122;Paseo Rivera Indarte;697;Ricardo Rojas y Manuel De Falla;;CORDOBA;-31,34049;-64,29043;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Neverland;122;Neverland - Trelew;47419;JOSIAH WILLIAMS 209 Y RUTA NRO 7;;TRELEW;-43,26872;-65,28225;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Neverland;122;Terrazas de Mayo Shopping;693;Ruta 8 y 202;;SAN MIGUEL;-34,5274;-58,70892;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Viajes y Turismo;Hoteles;Nido del Condor;1732;San Carlos de Bariloche;4870;Av. Bustillo Km 6,900;;SAN CARLOS DE BARILOCHE;-41,13198;-71,32233;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Mercedes;6991;Calle 27 y 18;;MERCEDES;-34,64803;-59,43021;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Miramar 2;7005;Calle 21 y 26;;MIRAMAR;-38,26575;-57,84402;INTERIOR;INTERIOR
Gastronomía;Compras Gastronómicas;Oh cupcakes!;2395;La Plata;6735;holaohcupcakes.blogspot.com;;LA PLATA;0;0;INTERIOR;INTERIOR
Viajes y Turismo;Asistencia al Viajero;Omint Assistance;5422;San Nicolas;13068;http://www.omintassistance.com.ar;;SAN NICOLAS;-34,60528;-58,37583;CABA SUR;CABA
Moda;Indumentaria Deportiva;Open Sports;2485;Lobos;6983;Buenos Aires y 25 de Mayo;;LOBOS;-35,18504;-59,10233;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Miramar;6997;Calle 21 y 20;;MIRAMAR;-38,26575;-57,84402;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Puerto Iguazu;7010;Av. Perón esq. Penetración Turistica;;PUERTO IGUAZU;-25,59716;-54,5786;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Puerto Iguazu;13863;Av. Victoria Aguirre y Republica de Italia;;PUERTO IGUAZU;-25,59716;-54,5786;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;Open Sports;2485;Batán;6979;Colectora entre 31 y 33;;BARRIO BATAN;-38,00908;-57,70986;INTERIOR;INTERIOR
Gastronomía;Restaurantes;Pacú Restó;1346;La Ribera Shopping;3996;Dique 1 - Puerto Santa Fe;;SANTA FE;-31,64981;-60,70469;INTERIOR;INTERIOR
Hogar;Pinturerías;Pintecord;3283;Cordoba;8592;Av. 24 de Septiembre Esq. Bv.Ocampo;;CORDOBA;-31,39893;-64,18213;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerias del Centro;3982;Ushuaia;9903;Gral Paz;;USHUAIA;-54,80785;-68,31059;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerias del Centro;3982;La Rioja;9918;LAMADRID ESQ. BAZAN Y BUSTOS;;LA RIOJA;-29,4128;-66,85598;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerias del Centro;3982;Caballito;9929;AV. GAONA 1901;;CABALLITO;-34,61196;-58,45477;CABA OESTE;CABA
Hogar;Pinturerías;Pinturerias del Centro;3982;POSADAS;9964;San Martin esquina Ayacucho;;POSADAS;-27,36757;-55,89701;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Rex;125;Pilar;744;Ruta Panamericana km. 49.5;;PILAR;12,35129;-86,04939;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Hogar;Pinturerías;Pinturerías Sagitario;1882;Gesell Norte;5283;Av. Buenos Aires y Alameda 210;;VILLA GESELL;-37,2634;-56,97327;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Mar del Plata;15097;Av.Luro y Olazabal;;MAR DEL PLATA;-37,99493;-57,5645;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Gesell Sur;5285;Av. 3 y Paseo 138;;VILLA GESELL;-37,28558;-56,99125;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Las Gaviotas;5292;Punta del Este y Calle 32;;MAR DE LAS PAMPAS;-37,34336;-57,03512;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Madariaga;5290;Avellaneda y Belgrano;;GENERAL MADARIAGA;-37,03841;-57,13655;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Pinamar;5296;Jupiter y del Cazon;;PINAMAR;-37,10899;-56,8681;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Valeria del Mar;5289;Espora y Loria;;VALERIA DEL MAR;-37,14293;-56,8963;INTERIOR;INTERIOR
Hogar;Pinturerías;Pinturerías Sagitario;1882;Pinamar;5287;De las Medusas y Totoras;;PINAMAR;-37,10268;-56,86536;INTERIOR;INTERIOR
Hogar;Pinturerías;Prestigio;129;Villa Gesell;14103;Av. 3 y paseo 111;;VILLA GESELL;-37,26055;-56,9798;INTERIOR;INTERIOR
Hogar;Pinturerías;Prestigio;129;La Plata;14089;Camino Gral. Belggrano;;LA PLATA;-34,89294;-58,00561;INTERIOR;INTERIOR
Mascotas;Mascotas;Puppis;259;Boulogne;1032;Panamericana (Colectora) entre Rolón y Sucre;;BOULOGNE;-34,50122;-58,56717;SAN ISIDRO;GBA Norte
Mascotas;Mascotas;Puppis;259;Centro Comercial Carrefour;1036;Ruta 8 Km.52;;PILAR;-34,45675;-58,90546;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Compras;Otros;Rapanui Chocolates;4741;Cerro Catedral;12012;Frente a Plaza Catalina Rynal;;SAN CARLOS DE BARILOCHE;-41,13347;-71,31028;INTERIOR;INTERIOR
Compras;Fotografía;Rey Foto;6010;www.reyfoto.com;14521;www.reyfoto.com;;PALERMO;0;0;CABA NORTE;CABA
Entretenimiento;Parques y Juegos;Sacoa;104;Comodoro Rivadavia;380;San Martín esq.Güemes;;COMODORO RIVADAVIA;-45,86129;-67,47535;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Florencio Varela (Supermercado Carrefour );15895;Av. San Martin 554;;FLORENCIO VARELA;-34,75928;-58,29831;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Entretenimiento;Parques y Juegos;Sacoa;104;Mar del Plata;389;Av. Colón y Las Heras;;MAR DEL PLATA;-38,00807;-57,54108;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Trelew;372;Av. Colombia y Belgrano;;TRELEW;-43,2476;-65,31076;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Necochea;370;Av. 75 y 58;;NECOCHEA;-38,56295;-58,74421;INTERIOR;INTERIOR
Moda;Indumentaria;Rocamadour;5185;Inalámbrica;12468;Morón;;MORON;-34,65586;-58,61672;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Compras;Regalos;RINCON DEL OCIO;116181;Neuquén;126184;LEGUIZAMON Y ALCORTA;;NEUQUEN;-38,95815;-68,06767;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Corrientes (Paseo La Anónima);15896;Primeros Concejales 256;;GOYA;-29,12968;-59,2609;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Avellaneda;386;Autop. Bs. As.- La Plata km 6,50;;AVELLANEDA;-34,61095;-58,43037;LANUS / AVELLANEDA;GBA Sur
Entretenimiento;Parques y Juegos;Sacoa;104;Villa Gesell;375;Av 3 entre 104 y 105;;VILLA GESELL;-37,2564;-56,96878;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Mendoza;381;Valle de las Leñas, Hotel Piscis;;MALARGUE;-35,47213;-69,58087;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Canning;15898;Av. Castex 1277;;CANNING;-34,88449;-58,51272;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Compras;Regalos;SATORI STORE;113606;SATORE STORE 2;123854;GRAL SAN MARTIN;;PARANA;-31,72154;-60,52565;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Sacoa;104;Pilar;388;Ruta Panamericana Ramal Pilar km 50;;PILAR;-34,70139;-58,43819;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Entretenimiento;Parques y Juegos;Sacoa;104;Monte Hermoso;382;Dufour y Valle Encantado;;MONTE HERMOSO;-38,91667;-61,55;INTERIOR;INTERIOR
Moda;Indumentaria;Siamo Fuori;2178;Villa Gesell;14830;Av. 3 y 104;;VILLA GESELL;-37,25289;-56,96631;INTERIOR;INTERIOR
Hogar;Colchones;Simmons;166;Simmons- Terrazas de Mayo;17839;Ruta 8;;VILLA DE MAYO;-34,53219;-58,70122;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Moda;Indumentaria;Siamo Fuori;2178;Plaza Oeste;14605;Av. Vergara y Gaona;;MORON;-34,65586;-58,61672;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Hogar;Colchones;Simmons;166;La Ribera Shopping;8913;Dique 1 del Puerto de Santa Fe;;SANTA FE;-31,63239;-60,69946;INTERIOR;INTERIOR
Gastronomía;Restaurantes;Scarlett;1106;Punta del este;3528;Rambla Artigas Entre 28 y 29;;PUNTA DEL ESTE;-34,96209;-54,94606;URUGUAY;MERCOSUR
Hogar;Colchones;Simmons;166;El Portal de Trelew;10559;Katterfield J.;;TRELEW;-43,27005;-65,27786;INTERIOR;INTERIOR
Hogar;Colchones;Simmons;166;Tortugas Open Mall;10538;Ruta Panamericana ramal Pilar;;PILAR;-34,45591;-58,90833;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Moda;Indumentaria;Siamo Fuori;2178;Shopping San Justo;14829;J. M. Rosas y C. de Cintura;;SAN JUSTO;-34,68741;-58,56326;MATANZA;GBA Oeste
Hogar;Colchones;Simmons;166;El Portal de los Andes;10550;General Balcarce 897;;GODOY CRUZ;-32,91527;-68,84013;INTERIOR;INTERIOR
Hogar;Colchones;Simmons;166;Simmons- Alto Comahue;17840;Avenida Dr. Ramon;;NEUQUEN;-38,94135;-68,06615;INTERIOR;INTERIOR
Gastronomía;Restaurantes;Soho Resto;1109;Punta del este;3530;Rambla Artigas entre 11 y 12;;PUNTA DEL ESTE;0;0;URUGUAY;MERCOSUR
Gastronomía;Delivery;Solgrace Bistró Vegetariano + Viandas;980;Gonnet;3195;503 esquina 14;;LA PLATA;-34,88234;-58,00951;INTERIOR;INTERIOR
